category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
C,V3,channel1,,29.8228999999999,,
C,V3,channel3,,29.8301999999999,,
C,V3,channel1,,29.8374999999999,,
C,V3,channel3,,29.8447999999999,,
C,V3,channel1,,29.8520999999998,,
C,V3,channel3,,29.8593999999998,,
C,V3,channel1,,29.8666999999998,,
C,V3,channel3,,29.8739999999998,,
C,V3,channel1,,29.8812999999998,,
C,V3,channel3,,29.8885999999998,,
C,V3,channel1,,29.8958999999998,,
C,V3,channel3,,29.9031999999998,,
C,V3,channel1,,29.9104999999998,,
C,V3,channel3,,29.9177999999998,,
C,V3,channel1,,29.9250999999998,,
C,V3,channel3,,29.9323999999998,,
C,V3,channel1,,29.9396999999998,,
C,V3,channel3,,29.9469999999998,,
C,V3,channel1,,29.9542999999998,,
C,V3,channel3,,29.9615999999998,,
C,V3,channel1,,29.9688999999998,,
C,V3,channel3,,29.9761999999998,,
C,V3,channel1,,29.9834999999998,,
C,V3,channel3,,29.9907999999998,,
C,V3,channel1,,29.9980999999998,,
C,V3,channel3,,30.0053999999998,,
C,V3,channel1,,30.0126999999998,,
C,V3,channel3,,30.0199999999998,,
C,V3,channel1,,30.0272999999998,,
C,V3,channel3,,30.0345999999998,,
C,V3,channel1,,30.0418999999998,,
C,V3,channel3,,30.0491999999998,,
C,V3,channel1,,30.0564999999998,,
C,V3,channel3,,30.0637999999998,,
C,V3,channel1,,30.0710999999998,,
C,V3,channel3,,30.0783999999998,,
C,V3,channel1,,30.0856999999998,,
C,V3,channel3,,30.0929999999998,,
C,V3,channel1,,30.1002999999998,,
C,V3,channel3,,30.1075999999997,,
C,V3,channel1,,30.1148999999997,,
C,V3,channel3,,30.1221999999997,,
C,V3,channel1,,30.1294999999997,,
C,V3,channel3,,30.1367999999997,,
C,V3,channel1,,30.1440999999997,,
C,V3,channel3,,30.1513999999997,,
C,V3,channel1,,30.1586999999997,,
C,V3,channel3,,30.1659999999997,,
C,V3,channel1,,30.1732999999997,,
C,V3,channel3,,30.1805999999997,,
